Registry,Assignment,Organization Name,Organization Address
MA-L,88124E,Qualcomm Inc.,1700 Technology Drive San Jose CA US 95110 
MA-L,00A0C6,Qualcomm Inc.,6455 LUSK BLVD SAN DIEGO CA US 92121 
MA-L,649C81,Qualcomm Inc.,5665 Morehouse Drive San Diego CA US 92071 
MA-L,8CFDF0,Qualcomm Inc.,5775 Morehouse Drive San Diego CA US 92121 
